Ticker ,BBERG_Ticker,Short Name,Market Cap,Revenue T12M,OPM LF,GICS Sector,GICS Ind Grp Name
A,A US Equity,AGILENT TECH INC,"30,145,937,408","5,236,000,000",8.24,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
AA,AA US Equity,ALCOA CORP,"2,781,427,456","9,532,000,000",-1.02,Materials,Materials
AAL,AAL US Equity,AMERICAN AIRLINE,"6,885,918,208","33,361,000,320",-153.27,Industrials,Transportation
AAN,AAN US Equity,AARON'S INC,"3,974,721,024","4,098,804,928",9.07,Consumer Discretionary,Retailing
AAP,AAP US Equity,ADVANCE AUTO PAR,"10,660,936,704","9,454,848,128",2.91,Consumer Discretionary,Retailing
AAPL,AAPL US Equity,APPLE INC,"1,932,757,565,440","273,856,999,424",21.93,Information Technology,Technology Hardware & Equipment
AAWW,AAWW US Equity,ATLAS AIR WORLDW,"1,568,423,552","2,864,343,040",14.62,Industrials,Transportation
AAXN,AAXN US Equity,AXON ENTERPRISE,"5,062,812,160","591,109,016",-9.68,Industrials,Capital Goods
ABBV,ABBV US Equity,ABBVIE INC,"168,559,230,976","36,226,999,808",7.21,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
ABC,ABC US Equity,AMERISOURCEBERGE,"21,138,882,560","186,286,960,640",0.89,Health Care,Health Care Equipment & Services
ABG,ABG US Equity,ASBURY AUTO GRP,"2,131,674,624","6,788,400,000",5.69,Consumer Discretionary,Retailing
ABM,ABM US Equity,ABM INDUSTRIES,"2,572,645,888","6,404,800,000",-7.80,Industrials,Commercial & Professional Services
ABMD,ABMD US Equity,ABIOMED INC,"13,619,589,120","798,066,000",20.66,Health Care,Health Care Equipment & Services
ABR,ABR US Equity,ARBOR REALTY TRU,"1,573,328,000","528,047,000",42.17,Financials,Diversified Financials
ABT,ABT US Equity,ABBOTT LABS,"178,203,836,416","31,444,000,256",9.17,Health Care,Health Care Equipment & Services
ACA,ACA US Equity,ARCOSA INC,"2,205,266,944","1,878,600,000",9.59,Industrials,Capital Goods
ACGL,ACGL US Equity,ARCH CAPITAL GRP,"13,234,696,192","7,251,876,864",22.85,Financials,Insurance
ACHC,ACHC US Equity,ACADIA HEALTHCAR,"2,755,188,224","3,090,603,968",9.84,Health Care,Health Care Equipment & Services
ACIA,ACIA US Equity,ACACIA COMMUNICA,"2,861,186,560","509,105,008",10.62,Information Technology,Technology Hardware & Equipment
ACIW,ACIW US Equity,ACI WORLDWIDE IN,"3,632,499,456","1,346,216,000",9.72,Information Technology,Software & Services
ACM,ACM US Equity,AECOM,"6,292,050,432","14,786,634,240",3.73,Industrials,Capital Goods
ACN,ACN US Equity,ACCENTURE PLC-A,"146,386,649,088","44,547,417,088",15.58,Information Technology,Software & Services
ADBE,ADBE US Equity,ADOBE INC,"213,623,717,888","12,045,070,080",32.48,Information Technology,Software & Services
ADI,ADI US Equity,ANALOG DEVICES,"43,986,747,392","5,543,986,944",26.12,Information Technology,Semiconductors & Semiconductor Equipment
ADM,ADM US Equity,ARCHER-DANIELS,"24,698,505,216","64,305,999,872",2.79,Consumer Staples,"Food, Beverage & Tobacco"
ADNT,ADNT US Equity,ADIENT PLC,"1,656,120,448","12,994,000,000",-19.50,Consumer Discretionary,Automobiles & Components
ADP,ADP US Equity,AUTOMATIC DATA,"60,014,571,520","14,589,799,936",16.11,Information Technology,Software & Services
