Ticker,Company,Industry,Sector,Theme_Exposure,Directional_Exposure,Theme,Theme_Description,Meta_Theme,Mega_Theme,Research_Provider,Research_Note,Research_Note_Year,Research_Note_Month,Research_Note_Day,Key_Variable,KV_View,KV_View_Detail
ADM,Archer Daniels Midland ,Agribusiness,Consumer,Feedstock supplier to renewable diesel productions. Corn ethanol and biodiesel production,Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
BG,Bunge ,Agribusiness,Consumer,Feedstock supplier to renewable diesel production,Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
CVX,Chevron ,Integrated Oil,Energy,"Co-processing bio-feedstock to produce RD. By 2030 plans to grow renewables fuels prod. capacity to 100 Mbbl/d & renewable base oil to 100,000 tonnes/yr",Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
HFC,HollyFrontier ,Refining & Marketing,Energy,Entering RD market in '22 via its 210MMgpy Artesia & Cheyenne projects; the proposed Sinclair acquisition would push total production capacity to ~365MMgpy,Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
MPC,Marathon Petroleum ,Refining & Marketing,Energy,Currently has ~185MMgpy of RD production capacity at its Dickinson facility; announced plans to convert its Martinez facility to a ~730MMgpy facility by late-'23,Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
NFE,New Fortress Energy ,Diversified Natural Gas,Energy,Expects to reach FID in 2021 on a project to produce renewable diesel & jet fuel through Zero Parks JV,Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
VLO,Valero Energy ,Refining & Marketing,Energy,"Currently has a market-leading position in RD via its Diamond Green Diesel JV, plus planned capacity additions would push total capacity to ""1.2Bgpy by mid-'23",Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
XOM,Exxon Mobil ,Integrated Oil,Energy,"Purchasing & distributing up to 5 MMbbls of renewable diesel beginning in 2022, Strathcona renewable diesel, advanced biofuels through algae and cellulosic",Positive,Biofuels & Renewable Diesel,"Renewable diesel is a biofuel (fuel that is made from biomass materials) that is chemically the same as petroleum diesel fuel. It can be produced from cellulosic biomass materials such as crop residues, wood and sawdust, and switchgrass, and it qualifies as an advanced biofuel under the Renewable Fuel Standard (RFS) Program. Conventional diesel is one of most efficient and energy dense fuels available today, which is why it is widely used in passenger vehicles, commercial trucks, home and industrial generators, and heating oil. As the fuel most consumed globally and given the broad focus on decarbonization, renewable diesel has a key role to play as a potential, clean substitute for conventional diesel.   The actual conversion process for renewable diesel relies on the transformation of various oils (e.g., soybean oil, animal fats) into fuel. These. unaltered feedstocks are in many cases priced at or above the per-gallon price of diesel fuels, implying weak conversion economics prior to government subsidies.",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,US renewable diesel production capacity,6.2bgpy,By the year 2030
ADM,Archer Daniels Midland ,Agribusiness,Consumer,Decatur CCS facility,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
APD,Air Products ,Industrial Gas,Materials,"VSA technology, Port Arthur CCS, Project Porthos",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
