,,1,2,3,4,5,6,7,
(-) = Non_AN,VA_Ticker ,BBERG_Ticker,Short Name,Market Cap,Revenue T12M,OPM LF,GICS Sector,GICS Ind Grp Name,
A,A,A US Equity,AGILENT TECH INC,"30,145,937,408","5,236,000,000",8.24,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AA,AA US Equity,ALCOA CORP,"2,781,427,456","9,532,000,000",-1.02,Materials,Materials,
ZS,ZS,ZS US Equity,ZSCALER INC,"15,576,047,616","391,490,000",-18.56,Information Technology,Software & Services,
-,SCOR,SCOR US Equity,COMSCORE INC,"233,244,256","367,557,000",-3.10,Communication Services,Media & Entertainment,
-,AAL,AAL US Equity,AMERICAN AIRLINE,"6,885,918,208","33,361,000,320",-153.27,Industrials,Transportation,
-,AAN,AAN US Equity,AARON'S INC,"3,974,721,024","4,098,804,928",9.07,Consumer Discretionary,Retailing,
-,AAP,AAP US Equity,ADVANCE AUTO PAR,"10,660,936,704","9,454,848,128",2.91,Consumer Discretionary,Retailing,
-,GME,GME US Equity,GAMESTOP CORP-A,"292,710,272","5,939,299,904",-10.58,Consumer Discretionary,Retailing,
-,AAPL,AAPL US Equity,APPLE INC,"1,932,757,565,440","273,856,999,424",21.93,Information Technology,Technology Hardware & Equipment,
-,AAWW,AAWW US Equity,ATLAS AIR WORLDW,"1,568,423,552","2,864,343,040",14.62,Industrials,Transportation,
-,CCRN,CCRN US Equity,CROSS COUNTRY HE,"245,304,400","851,139,008",-6.31,Health Care,Health Care Equipment & Services,
-,AAXN,AAXN US Equity,AXON ENTERPRISE,"5,062,812,160","591,109,016",-9.68,Industrials,Capital Goods,
-,ABBV,ABBV US Equity,ABBVIE INC,"168,559,230,976","36,226,999,808",7.21,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
ABC,ABC,ABC US Equity,AMERISOURCEBERGE,"21,138,882,560","186,286,960,640",0.89,Health Care,Health Care Equipment & Services,
-,ABG,ABG US Equity,ASBURY AUTO GRP,"2,131,674,624","6,788,400,000",5.69,Consumer Discretionary,Retailing,
-,ACAD,ACAD US Equity,ACADIA PHARMACEU,"6,285,157,888","393,083,000",-39.97,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MPX,MPX US Equity,MARINE PRODUCTS,"488,811,968","220,324,000",5.08,Consumer Discretionary,Consumer Durables & Apparel,
-,ABM,ABM US Equity,ABM INDUSTRIES,"2,572,645,888","6,404,800,000",-7.80,Industrials,Commercial & Professional Services,
-,ABMD,ABMD US Equity,ABIOMED INC,"13,619,589,120","798,066,000",20.66,Health Care,Health Care Equipment & Services,
ALTR,ALTR,ALTR US Equity,ALTAIR ENGINEE-A,"2,935,539,968","454,307,000",-4.68,Information Technology,Software & Services,
MDB,MDB,MDB US Equity,MONGODB INC,"11,334,477,824","462,661,000",-32.26,Information Technology,Software & Services,
-,ABR,ABR US Equity,ARBOR REALTY TRU,"1,573,328,000","528,047,000",42.17,Financials,Diversified Financials,
-,SCWX,SCWX US Equity,SECUREWORKS CO-A,"998,822,400","561,103,984",-7.63,Information Technology,Software & Services,
-,TTGT,TTGT US Equity,TECHTARGET,"1,072,144,768","135,911,000",19.76,Communication Services,Media & Entertainment,
ABT,ABT,ABT US Equity,ABBOTT LABS,"178,203,836,416","31,444,000,256",9.17,Health Care,Health Care Equipment & Services,
-,GSB,GSB US Equity,GLOBALSCAPE INC,"178,244,192","40,373,000",37.11,Information Technology,Software & Services,
-,ACA,ACA US Equity,ARCOSA INC,"2,205,266,944","1,878,600,000",9.59,Industrials,Capital Goods,
-,ACGL,ACGL US Equity,ARCH CAPITAL GRP,"13,234,696,192","7,251,876,864",22.85,Financials,Insurance,
-,ACHC,ACHC US Equity,ACADIA HEALTHCAR,"2,755,188,224","3,090,603,968",9.84,Health Care,Health Care Equipment & Services,
