factset_ultimate_parent_entity_id,ultimate_parent_name,Ult_Parent_Entity_Type,rel_type_desc,factset_entity_id,Name,Entity_Type
0N26RV-E,"The Aaron's Co., Inc.",Public Company,IS_PARENT_OF,000BFT-E,Aaron's LLC,Subsidiary
008QMK-E,"Berry Global Group, Inc.",Public Company,IS_PARENT_OF,000BLH-E,"AEP Industries, Inc.",Subsidiary
003CVY-E,"Star Equity Holdings, Inc.",Public Company,IS_PARENT_OF,000BM4-E,"ATRM Holdings, Inc.",Subsidiary
0HTSZC-E,Nutrien Ltd.,Public Company,IS_PARENT_OF,000BMP-E,"Agrium, Inc.",Extinct
05HFMC-E,Air Liquide SA,Public Company,IS_PARENT_OF,000BNF-E,"Airgas, Inc.",Subsidiary
000DTT-E,"Cleveland-Cliffs, Inc.",Public Company,IS_PARENT_OF,000BNN-E,Cleveland-Cliffs Steel Holding Corp.,Subsidiary
0P46GJ-E,Akorn Holdings Topco LLC,Private Company,IS_PARENT_OF,000BNP-E,"Akorn, Inc.",Extinct
000WQ5-E,The Southern Co.,Public Company,IS_PARENT_OF,000BNR-E,Alabama Power Co.,Subsidiary
000BNX-E,"Alaska Air Group, Inc.",Public Company,IS_PARENT_OF,000BNY-E,"Alaska Airlines, Inc.",Subsidiary
0H6MLJ-E,"Alexander & Baldwin, Inc.",Public Company,IS_PARENT_OF,000BPP-E,Alexander & Baldwin Investments LLC,Subsidiary
074HJZ-E,Stichting Pensioenfonds ABP,Pension Fund,IS_PARENT_OF,000BPX-E,APG Asset Management NV,Subsidiary
0H919Y-E,"Akumin, Inc.",Public Company,IS_PARENT_OF,000BRC-E,"Alliance HealthCare Services, Inc.",Subsidiary
05M7ZX-E,Fanjul Corp,Private Company,IS_PARENT_OF,000C3X-E,"Domino Foods, Inc.",Subsidiary
000Z0L-E,"Worthington Industries, Inc.",Public Company,IS_PARENT_OF,000C42-E,"AMTROL, Inc.",Subsidiary
001WFS-E,"WESCO International, Inc.",Public Company,IS_PARENT_OF,000C6B-E,"Anixter International, Inc.",Subsidiary
06NMZ7-E,The Anschutz Corp.,Private Company,IS_PARENT_OF,000C6K-E,Anschutz Co.,Subsidiary
0D7CFN-E,Aon Plc,Public Company,IS_PARENT_OF,000C6S-E,Aon Global Ltd. (United Kingdom),Subsidiary
0NG9QC-E,APA Corp.,Public Company,IS_PARENT_OF,000C6X-E,Apache Corp.,Subsidiary
05HXP9-E,Pan Pacific International Holdings Corp.,Public Company,IS_PARENT_OF,000C8Q-E,"Arden Group, Inc.",Subsidiary
0NSQBN-E,Valaris Ltd.,Public Company,IS_PARENT_OF,000CDW-E,Atwood Oceanics LLC,Subsidiary
00F7B1-E,Taylor Morrison Home Corp.,Public Company,IS_PARENT_OF,000CG7-E,"AV Homes, Inc.",Subsidiary
0L0Y50-E,Natura &Co Holding SA,Public Company,IS_PARENT_OF,000CGK-E,"Avon Products, Inc.",Subsidiary
000TSD-E,Progressive Corp.,Public Company,IS_PARENT_OF,000CJV-E,Protective Insurance Corp.,Subsidiary
061NFT-E,City of Calgary,Government,IS_PARENT_OF,000CKQ-E,"Versant Power, Inc.",Subsidiary
06Q8HT-E,Elliott Capital Advisors LP,Private Company,IS_PARENT_OF,000CLV-E,"Barnes & Noble, Inc.",Subsidiary
001PHW-E,Perpetual Ltd.,Public Company,IS_PARENT_OF,000CM9-E,"Barrow, Hanley, Mewhinney & Strauss LLC",Subsidiary
06MH66-E,Bellevue Group AG,Public Company,IS_PARENT_OF,000CP4-E,BB Biotech AG,Mutual_Fd_Closed_End
0M6FSJ-E,Raytheon Technologies Corp.,Public Company,IS_PARENT_OF,000CPB-E,"B/E Aerospace, Inc.",Subsidiary
002Q59-E,Sumitomo Corp.,Public Company,IS_PARENT_OF,000CTP-E,"Big O Tires, Inc.",Subsidiary
0D8JTS-E,"Boxer Parent Co., Inc.",Private Company,IS_PARENT_OF,000CXX-E,"BMC Software, Inc.",Subsidiary
0L6SXP-E,"Hexion Intermediate Holding 2, Inc.",Private Company,IS_PARENT_OF,000CZ3-E,"Hexion, Inc.",Subsidiary
0PBLVS-E,Bowlero Corp.,Public Company,IS_PARENT_OF,000D00-E,"Bowl America Shirley, Inc.",Subsidiary
05FYZL-E,"Bridgford Industries, Inc.",Private Company,IS_PARENT_OF,000D1M-E,Bridgford Foods Corp.,Public_Company
000ZVL-E,WSFS Financial Corp.,Public Company,IS_PARENT_OF,000D33-E,Bryn Mawr Bank Corp.,Extinct
09PD3D-E,Industry Super Holdings Pty Ltd.,Private Company,IS_PARENT_OF,000D3K-E,Buckeye Partners LP,Subsidiary
0P8WTC-E,eSolutions Furniture Group,Holding Company,IS_PARENT_OF,000D4W-E,"Bush Industries, Inc.",Subsidiary
05HWL9-E,"Kuraray Co., Ltd.",Public Company,IS_PARENT_OF,000D6T-E,Calgon Carbon Corp.,Subsidiary
0NZWSJ-E,Iconix Acquisition LLC,Private Company,IS_PARENT_OF,000D93-E,"Iconix Brand Group, Inc.",Subsidiary
0K8PY3-E,STERIS Plc (Ireland),Public Company,IS_PARENT_OF,000D99-E,Cantel Medical Corp.,Subsidiary
0BMVJ7-E,Capital Southwest Management Co.,Private Company,IS_PARENT_OF,000DBM-E,Capital Southwest Corp,Private_Eq_Fd_Alt_Invt
06SN3X-E,"AMC Entertainment Holdings, Inc.",Public Company,IS_PARENT_OF,000DD3-E,Carmike Cinemas LLC,Subsidiary
0MM7GH-E,"Caesars Entertainment, Inc.",Public Company,IS_PARENT_OF,000DFM-E,"Isle of Capri Casinos, Inc.",Extinct
000D1R-E,Bristol Myers Squibb Co.,Public Company,IS_PARENT_OF,000DGZ-E,Celgene Corp.,Subsidiary
003N20-E,"CCL Industries, Inc.",Public Company,IS_PARENT_OF,000DNG-E,"Checkpoint Systems, Inc.",Subsidiary
0F24ZQ-E,Chiquita Holdings Ltd.,Private Company,IS_PARENT_OF,000DPT-E,"Chiquita Brands International, Inc.",Subsidiary
0JF71F-E,Cigna Corp.,Public Company,IS_PARENT_OF,000DR3-E,Cigna Holding Co.,Subsidiary
000JQM-E,"First Citizens BancShares, Inc. (North Carolina)",Public Company,IS_PARENT_OF,000DS7-E,"CIT Group, Inc.",Subsidiary
0NSRPW-E,"Frontier Communications Parent, Inc.",Public Company,IS_PARENT_OF,000DSS-E,Frontier Communications Corp.,Extinct
0DFRWT-E,CKE Holdings LP,Private Company,IS_PARENT_OF,000DSY-E,"CKE Restaurants Holdings, Inc.",Subsidiary
002YTH-E,"Tapestry, Inc.",Public Company,IS_PARENT_OF,000DT0-E,Kate Spade & Co. LLC,Extinct
0M1VN3-E,Claire's Holdings LLC,Private Company,IS_PARENT_OF,000DT1-E,"Claire's Stores, Inc.",Subsidiary
000T4W-E,Parker-Hannifin Corp.,Public Company,IS_PARENT_OF,000DT2-E,"Clarcor, Inc.",Subsidiary
000P7W-E,Loews Corp.,Public Company,IS_PARENT_OF,000DW8-E,CNA Financial Corp.,Public_Company
0DK9BP-E,"Catalent, Inc.",Public Company,IS_PARENT_OF,000DZC-E,"Catalent JNP, Inc.",Subsidiary
0R8M2D-E,"Pineapple Energy, Inc.",Public Company,IS_PARENT_OF,000F16-E,"Communications Systems, Inc.",Extinct
0JCLYY-E,"Broadcom, Inc.",Public Company,IS_PARENT_OF,000F2F-E,"CA Technologies, Inc.",Subsidiary
0D8JTS-E,"Boxer Parent Co., Inc.",Private Company,IS_PARENT_OF,000F2V-E,Compuware Corp.,Extinct
001FBC-E,Eversource Energy,Public Company,IS_PARENT_OF,000F3T-E,The Connecticut Light & Power Co.,Subsidiary
000L54-E,Goodyear Tire & Rubber Co.,Public Company,IS_PARENT_OF,000F6H-E,Cooper Tire & Rubber Co.,Subsidiary
0090C8-E,Corel Holdings LP,Private Company,IS_PARENT_OF,000F71-E,Corel Corp.,Subsidiary
000ZB4-E,Farmers National Banc Corp.,Public Company,IS_PARENT_OF,000F9P-E,"Cortland Bancorp, Inc. (Ohio)",Subsidiary
05J2S5-E,IG Design Group Plc,Public Company,IS_PARENT_OF,000FF6-E,"CSS Industries, Inc.",Subsidiary
00354T-E,Infineon Technologies AG,Public Company,IS_PARENT_OF,000FGN-E,Cypress Semiconductor Corp.,Subsidiary
05HWDG-E,"Sumitomo Chemical Co., Ltd.",Public Company,IS_PARENT_OF,000FHB-E,"Sumitomo Pharma Co., Ltd.",Public_Company
0GW07P-E,Estate of Joseph Feldschuh,Trust/Trustee,IS_PARENT_OF,000FK2-E,Daxor Corp.,Public_Company
0013FQ-E,The AES Corp.,Public Company,IS_PARENT_OF,000FK5-E,AES Ohio,Subsidiary
000FMM-E,Deere & Co.,Public Company,IS_PARENT_OF,000FMN-E,John Deere Capital Corp.,Financing_Subsidiary_SPE
