Name,RBICS_id,Entity_Type,RBICS_Level
3D Modeling/Rapid Prototyping Automation Providers,401020151510,RBICS_IG,6
Absorbent Products Manufacturing,50202010,RBICS_IG,4
Access Systems Manufacturing,551510151010,RBICS_IG,6
Accessories Production,20101010,RBICS_IG,4
Accessories Retail,20251010,RBICS_IG,4
Accommodation Providers,15101010,RBICS_IG,4
Accounting and Bookkeeping Services,101015201010,RBICS_IG,6
"Accounting, Tax Preparers and Bookkeeping Services",1010152010,RBICS_IG,5
Acetylene Gas Manufacturing,451010151535,RBICS_IG,6
Active and Intermediate Chemicals OEMs,351525101010,RBICS_IG,6
Activewear and Outerwear Apparel Production,201010151510,RBICS_IG,6
Acute Care and Institutional Patient Care,35151510,RBICS_IG,4
Additives Manufacturing,45102010,RBICS_IG,4
"Adhesive, Sealant, Coating and Paint Products",45102015,RBICS_IG,4
Adhesives and Sealants Manufacturing,4510201510,RBICS_IG,5
Administrative Employment Services,1010151010,RBICS_IG,5
Administrative Services,10101510,RBICS_IG,4
Administrative Software and Services,1010151015,RBICS_IG,5
Advanced Combat and Support Systems Manufacturing,401010151010,RBICS_IG,6
Advertising,151510201510,RBICS_IG,6
Aerospace Equipment,40101010,RBICS_IG,4
Aerospace and Defense IT Services,401010151015,RBICS_IG,6
Aerospace and Defense Manufacturing,401010,RBICS_IG,3
Aerostructures and Composite Parts Makers,401010101010,RBICS_IG,6
Africa Banks,3010102010,RBICS_IG,5
Africa Coal Mining,251010201010,RBICS_IG,6
Africa and Non-US Americas Air Passenger Services,4015301010,RBICS_IG,5
Agricultural Support Activity Providers,50151025,RBICS_IG,4
Agriculture,501510,RBICS_IG,3
Agriculture and Farming Machinery Manufacturing,4010202510,RBICS_IG,5
Agrochemical Products,45102020,RBICS_IG,4
Air Freight Transportation Operators,401510101010,RBICS_IG,6
Air Passenger Transportation,40153010,RBICS_IG,4
Air Purification and Filtration Equipment Products,401020101010,RBICS_IG,6
Air Transport Infrastructure and Support Providers,401510101025,RBICS_IG,6
Air Transportation Operators,4015101010,RBICS_IG,5
Air and Water Transportation Operators,40151010,RBICS_IG,4
"Air, Liquid and Gas Control Equipment",40102010,RBICS_IG,4
"Air, Liquid and Gas Control Equipment Products",401020101510,RBICS_IG,6
Aircraft Engine and Engine Parts Makers,401010101015,RBICS_IG,6
Aircraft Instrument/Electromechanical Part Makers,401010101020,RBICS_IG,6
Aircraft Manufacturing,401010101025,RBICS_IG,6
Aircraft and Engine Leasing Services,303010101510,RBICS_IG,6
Airport/Flight Support Infrastructure Operators,401510101015,RBICS_IG,6
